S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
251,MIDBL,Mission Development Bank Limited,2:1,"575,000.00",100.00,2015-10-06,2015-11-09,2015-09-29,,Vibor capital Ltd.,Closed,,
252,MBL,Machhapuchchhre Bank Limited,5:1,"5,552,501.00",100.00,2015-10-03,2015-11-07,2015-08-17,,Nabil Investment Banking Ltd.,Closed,,
253,NBBL,Nagbeli Laghubitta Bikash Bank Limited,4:1,"50,000.00",100.00,2015-09-30,2015-10-31,2015-09-15,,NMB Capital Ltd.,Closed,,
254,LBL,Laxmi Bank Limited,10:3,"7,013,606.00",100.00,2015-06-20,2015-07-25,2015-06-03,,NMB Capital Ltd.,Closed,,
255,PROFL,Progressive Finance Limited,4:3,"900,000.00",100.00,2015-08-01,2015-09-05,2015-07-08,2016-01-22,Growmore Merchant Banker Ltd.,Closed,,
256,METRO,Metro Development Bank Limited,20:3,"278,504.00",100.00,2015-07-29,2015-08-22,2015-07-07,2016-07-06,NCM Merchant Banking Ltd.,Closed,,
257,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,2:1,"1,418,447.00",100.00,2015-07-27,2015-08-30,2015-07-15,,NMB Capital Ltd.,Closed,,
258,PICL,Prudential Insurance Company Limited,5:1,"540,000.00",100.00,2015-07-20,2015-08-23,2015-07-03,,Global IME Capital Ltd.,Closed,,
259,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,1:1,"200,000.00",100.00,2015-06-25,2015-07-29,2015-06-14,2015-10-15,NMB Capital Ltd.,Closed,,
260,KEBL,Kabeli Bikas Bank Limited,2:1,"172,000.00",100.00,2015-04-22,2015-05-26,2015-04-08,2016-04-26,Global IME Capital Ltd.,Closed,,
261,UIC,United Insurance Company (Nepal) Limited,1:1.50,"1,512,000.00",100.00,2015-04-25,2015-05-30,2015-03-29,,Global IME Capital Ltd.,Closed,,
262,PURBL,Purnima Bikas Bank Limited,4:1,"275,000.00",100.00,2015-04-18,2015-05-23,2015-04-01,,Ace Capital Ltd.,Closed,,
263,PIC,Premier Insurance Company (Nepal) Limited,1:1.15,"1,346,951.00",100.00,2015-03-29,2015-05-02,2015-03-10,2015-10-01,Laxmi Capital Market Ltd.,Closed,,
264,NGBL,Nilgiri Bikas Bank Limited,4:1,"300,000.00",100.00,2015-03-22,2015-04-25,2015-03-09,2015-06-09,Global IME Capital Ltd.,Closed,,
